gName,fName
Phocarctos,OTARIIDAE
Trichechus,TRICHECHIDAE
Hydrodamalis,DUGONGIDAE
Trichechus,TRICHECHIDAE
Cephalorhynchus,DELPHINIDAE
Gulo,MUSTELIDAE
Martes,MUSTELIDAE
Melogale,MUSTELIDAE
Mustela,MUSTELIDAE
Mustela,MUSTELIDAE
Mustela,MUSTELIDAE
Mustela,MUSTELIDAE
Mustela,MUSTELIDAE
Mustela,MUSTELIDAE
Martes,MUSTELIDAE
Meles,MUSTELIDAE
Mustela,MUSTELIDAE
Mustela,MUSTELIDAE
Vormela,MUSTELIDAE
Neovison,MUSTELIDAE
Melogale,MUSTELIDAE
Melogale,MUSTELIDAE
Mellivora,MUSTELIDAE
Galictis,MUSTELIDAE
Galictis,MUSTELIDAE
Eira,MUSTELIDAE
Ictonyx,MUSTELIDAE
Ictonyx,MUSTELIDAE
Lyncodon,MUSTELIDAE
Martes,MUSTELIDAE
Martes,MUSTELIDAE
Martes,MUSTELIDAE
Martes,MUSTELIDAE
Mustela,MUSTELIDAE
Mustela,MUSTELIDAE
Mustela,MUSTELIDAE
Mustela,MUSTELIDAE
Mustela,MUSTELIDAE
Mustela,MUSTELIDAE
Mustela,MUSTELIDAE
Neovison,MUSTELIDAE
Poecilogale,MUSTELIDAE
Taxidea,MUSTELIDAE
Melogale,MUSTELIDAE
Meles,MUSTELIDAE
Meles,MUSTELIDAE
Arctocephalus,OTARIIDAE
Arctocephalus,OTARIIDAE
Arctocephalus,OTARIIDAE
Arctocephalus,OTARIIDAE
Arctocephalus,OTARIIDAE
Callorhinus,OTARIIDAE
Cystophora,PHOCIDAE
Erignathus,PHOCIDAE
Eumetopias,OTARIIDAE
Halichoerus,PHOCIDAE
Hydrurga,PHOCIDAE
Leptonychotes,PHOCIDAE
Lobodon,PHOCIDAE
Mirounga,PHOCIDAE
Mirounga,PHOCIDAE
Neomonachus,PHOCIDAE
Neomonachus,PHOCIDAE
Neophoca,OTARIIDAE
Odobenus,ODOBENIDAE
Ommatophoca,PHOCIDAE
Phoca,PHOCIDAE
Phoca,PHOCIDAE
Arctocephalus,OTARIIDAE
Zalophus,OTARIIDAE
Zalophus,OTARIIDAE
Pusa,PHOCIDAE
Histriophoca,PHOCIDAE
Pagophilus,PHOCIDAE
Pusa,PHOCIDAE
Pusa,PHOCIDAE
Balaena,BALAENIDAE
Balaenoptera,BALAENOPTERIDAE
Balaenoptera,BALAENOPTERIDAE
Balaenoptera,BALAENOPTERIDAE
Balaenoptera,BALAENOPTERIDAE
Berardius,ZIPHIIDAE
Caperea,NEOBALAENIDAE
Cephalorhynchus,DELPHINIDAE
Cephalorhynchus,DELPHINIDAE
Delphinapterus,MONODONTIDAE
Eschrichtius,ESCHRICHTIIDAE
Eubalaena,BALAENIDAE
Feresa,DELPHINIDAE
Globicephala,DELPHINIDAE
Globicephala,DELPHINIDAE
Grampus,DELPHINIDAE
Hyperoodon,ZIPHIIDAE
Hyperoodon,ZIPHIIDAE
Inia,INIIDAE
Lagenodelphis,DELPHINIDAE
Lagenorhynchus,DELPHINIDAE
Lagenorhynchus,DELPHINIDAE
Lagenorhynchus,DELPHINIDAE
Lagenorhynchus,DELPHINIDAE
Lagenorhynchus,DELPHINIDAE
Lissodelphis,DELPHINIDAE
Lissodelphis,DELPHINIDAE
Megaptera,BALAENOPTERIDAE
Mesoplodon,ZIPHIIDAE
Mesoplodon,ZIPHIIDAE
Mesoplodon,ZIPHIIDAE
Mesoplodon,ZIPHIIDAE
Mesoplodon,ZIPHIIDAE
Mesoplodon,ZIPHIIDAE
Mesoplodon,ZIPHIIDAE
Mesoplodon,ZIPHIIDAE
Mesoplodon,ZIPHIIDAE
Mesoplodon,ZIPHIIDAE
Mesoplodon,ZIPHIIDAE
Monodon,MONODONTIDAE
Orcinus,DELPHINIDAE
Peponocephala,DELPHINIDAE
Phocoena,PHOCOENIDAE
Phocoena,PHOCOENIDAE
Phocoenoides,PHOCOENIDAE
Stenella,DELPHINIDAE
Stenella,DELPHINIDAE
Stenella,DELPHINIDAE
Stenella,DELPHINIDAE
Tasmacetus,ZIPHIIDAE
Ziphius,ZIPHIIDAE
Indopacetus,ZIPHIIDAE
Eubalaena,BALAENIDAE
Tursiops,DELPHINIDAE
Phocoena,PHOCOENIDAE
Neophocaena,PHOCOENIDAE
Mesoplodon,ZIPHIIDAE
Mesoplodon,ZIPHIIDAE
Sotalia,DELPHINIDAE
Neophocaena,PHOCOENIDAE
Otaria,OTARIIDAE
Arctocephalus,OTARIIDAE
Mustela,MUSTELIDAE
Arctocephalus,OTARIIDAE
Melogale,MUSTELIDAE
Arctonyx,MUSTELIDAE
Arctonyx,MUSTELIDAE
Mustela,MUSTELIDAE
Mustela,MUSTELIDAE
Sousa,DELPHINIDAE
Sousa,DELPHINIDAE
Martes,MUSTELIDAE
Lontra,MUSTELIDAE
Lontra,MUSTELIDAE
Trichechus,TRICHECHIDAE
Zalophus,OTARIIDAE
Monachus,PHOCIDAE
Orcaella,DELPHINIDAE
Sousa,DELPHINIDAE
Orcaella,DELPHINIDAE
Sousa,DELPHINIDAE
Martes,MUSTELIDAE
Cephalorhynchus,DELPHINIDAE
Balaenoptera,BALAENOPTERIDAE
Sotalia,DELPHINIDAE
Balaenoptera,BALAENOPTERIDAE
Pseudorca,DELPHINIDAE
Mustela,MUSTELIDAE
Balaenoptera,BALAENOPTERIDAE
Stenella,DELPHINIDAE
Tursiops,DELPHINIDAE
Dugong,DUGONGIDAE
Physeter,PHYSETERIDAE
Aonyx,MUSTELIDAE
Aonyx,MUSTELIDAE
Enhydra,MUSTELIDAE
Lontra,MUSTELIDAE
Lontra,MUSTELIDAE
Lutra,MUSTELIDAE
Hydrictis,MUSTELIDAE
Lutra,MUSTELIDAE
Lutrogale,MUSTELIDAE
Pteronura,MUSTELIDAE
Aonyx,MUSTELIDAE
Lagenorhynchus,DELPHINIDAE
Eubalaena,BALAENIDAE
Berardius,ZIPHIIDAE
Steno,DELPHINIDAE
Mesoplodon,ZIPHIIDAE
Berardius,ZIPHIIDAE
Phocoena,PHOCOENIDAE
